trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,hour,is_peak_hour,surge_flag_computed,zone_name,population_density,traffic_index,avg_speed_kmph,zone_type,traffic_level,traffic_level_encoded,age,gender,city,days_since_signup,avg_rating,avg_ride_distance,avg_ride_fare,ride_cancellation_rate,surge_trips_pct,trip_count
T00001,R0037,Zone_10,11.83,74.59,104.88,Cash,2023-11-13,0,6,0,0,Zone_10,2440,1.54,35.4,Industrial,Medium,1.0,32.0,Other,Ahmedabad,2105.0,3.36,9.76125,164.3325,0.012244897959183673,0.3333333333333333,8.0
T00002,R0104,Zone_9,3.86,35.59,40.48,Cash,2023-07-28,1,19,1,0,Zone_9,11037,1.83,56.1,Mixed,Medium,1.0,52.0,Male,Kolkata,1918.0,3.7,5.187777777777779,85.04333333333334,0.00303951367781155,0.5,9.0
T00004,R0089,Zone_2,11.06,59.48,257.64,Cash,2023-12-13,0,14,0,1,Zone_2,6371,0.91,58.4,Residential,Low,0.0,48.0,Other,Surat,1436.0,3.91,9.981111111111112,157.28333333333333,0.019417475728155338,0.4,9.0
T00006,R0255,Zone_2,14.58,80.74,282.52,UPI,2024-02-10,1,10,0,0,Zone_2,6371,0.91,58.4,Residential,Low,0.0,37.0,Female,Bengaluru,1878.0,3.12,8.8915,157.7775,0.08823529411764706,0.6666666666666666,8.0
T00007,R0224,Zone_4,4.48,40.07,52.92,Credit Card,2023-08-21,1,7,1,0,Zone_4,4038,2.46,48.2,Business,High,2.0,,,,,,,,,,
T00008,R0039,Zone_3,11.75,96.11,102.35,Wallet,2024-03-10,0,20,1,0,Zone_3,12971,2.11,38.0,Business,High,2.0,24.0,Male,Chennai,1013.0,4.2,4.837142857142857,71.77085714285714,0.07329842931937172,0.25,7.0
T00009,R0223,Zone_5,9.212,66.61,175.75,Credit Card,2024-05-20,0,6,0,0,Zone_5,2590,1.31,43.9,Business,Medium,1.0,30.0,Female,Surat,2463.0,4.04,6.98775,123.40125,0.06289308176100629,0.6666666666666666,8.0
T00010,R0236,Zone_5,7.37,51.09,98.34,UPI,2023-03-01,1,18,1,0,Zone_5,2590,1.31,43.9,Business,Medium,1.0,28.0,Male,Ahmedabad,2208.0,3.36,4.5627272727272725,75.39636363636363,0.016129032258064516,0.3333333333333333,11.0
T00011,R0191,Zone_10,13.88,88.3,172.04,Credit Card,2023-09-09,0,22,0,0,Zone_10,2440,1.54,35.4,Industrial,Medium,1.0,33.0,Other,Surat,2204.0,4.56,7.5609090909090915,120.43727272727273,0.06818181818181818,0.5,11.0
T00012,R0199,Zone_1,11.4,64.9,139.35,Wallet,2023-12-15,0,10,0,0,Zone_1,4921,2.43,30.9,Residential,High,2.0,29.0,Male,Ahmedabad,1850.0,3.91,8.515,160.05,0.0782608695652174,0.18181818181818182,10.0
T00013,R0248,Zone_6,2.98,18.82,37.95,Wallet,2023-12-12,1,10,0,0,Zone_6,14627,0.54,37.6,Mixed,Low,0.0,18.0,Female,Chennai,1768.0,3.65,8.245714285714286,134.23714285714286,0.11428571428571428,0.25,7.0
T00014,R0300,Zone_2,11.2,70.93,249.44,Cash,2024-08-10,0,23,0,1,Zone_2,6371,0.91,58.4,Residential,Low,0.0,38.0,Female,Kolkata,1146.0,3.67,9.146666666666667,166.12833333333333,0.023972602739726026,0.5714285714285714,6.0
T00015,R0270,Zone_10,14.87,91.83,265.53,Credit Card,2023-08-24,0,20,1,0,Zone_10,2440,1.54,35.4,Industrial,Medium,1.0,35.0,Male,Hyderabad,1698.0,3.08,7.38,137.69125,0.14035087719298245,0.0,8.0
T00016,R0216,Zone_2,7.35,63.51,145.73,Cash,2024-08-04,1,3,0,0,Zone_2,6371,0.91,58.4,Residential,Low,0.0,44.0,Female,Chennai,2583.0,3.4,5.928,100.0376,0.07142857142857142,0.3333333333333333,5.0
T00017,R0168,Zone_3,6.76,56.32,83.57,Cash,2023-12-03,1,7,1,0,Zone_3,12971,2.11,38.0,Business,High,2.0,23.0,Male,Pune,2515.0,4.03,7.259600000000001,113.862,0.15677966101694915,0.3333333333333333,5.0
T00018,R0126,Zone_6,4.65,39.61,69.81,UPI,2024-01-19,0,23,0,0,Zone_6,14627,0.54,37.6,Mixed,Low,0.0,29.0,Female,Surat,1432.0,3.65,5.95,69.15333333333332,0.04854368932038835,0.42857142857142855,6.0
T00019,R0255,Zone_1,7.93,62.56,100.85,Credit Card,2023-05-26,1,2,0,0,Zone_1,4921,2.43,30.9,Residential,High,2.0,37.0,Female,Bengaluru,1878.0,3.12,8.8915,157.7775,0.08823529411764706,0.6666666666666666,8.0
T00020,R0061,Zone_2,11.43,81.48,227.77,UPI,2023-06-19,0,21,1,0,Zone_2,6371,0.91,58.4,Residential,Low,0.0,25.0,Male,Mumbai,2198.0,3.69,8.6175,149.185,0.14792899408284024,0.2,4.0
T00021,R0289,Zone_4,3.91,32.07,79.0,Cash,2024-08-15,0,20,1,0,Zone_4,4038,2.46,48.2,Business,High,2.0,31.62815884476534,Other,Chennai,1792.0,4.17,8.199,154.31,0.043343653250773995,0.5555555555555556,8.0
T00022,R0112,Zone_10,1.27,9.05,17.63,Credit Card,2024-03-28,0,1,0,0,Zone_10,2440,1.54,35.4,Industrial,Medium,1.0,41.0,Female,Delhi,2113.0,3.24,8.953,115.027,0.035256410256410256,0.36363636363636365,10.0
T00023,R0153,Zone_3,6.12,47.77,107.33400000000002,UPI,2024-02-26,0,23,0,0,Zone_3,12971,2.11,38.0,Business,High,2.0,20.0,Male,Mumbai,2306.0,4.54,5.768,89.9188,0.18181818181818182,0.3333333333333333,5.0
